State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32343,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32351,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32352,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32353,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32619,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32693,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33471,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33944,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32456,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32457,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32465,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32052,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32053,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32096,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33834,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33865,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33873,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33890,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33440,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33930,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33935,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33975,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,34601,Florida State and County,0.06,0.06500,0.00500,0,0,2
